iter	Passed	Remaining
193	279	1162
194	280	1157
195	280	1152
196	281	1147
197	282	1142
198	282	1138
199	283	1133
200	283	1128
201	284	1123
202	285	1119
203	285	1114
204	286	1110
205	286	1105
206	287	1101
207	288	1098
208	289	1094
209	289	1090
210	290	1085
211	291	1081
212	291	1077
213	292	1073
214	292	1069
215	293	1065
216	293	1060
217	294	1056
218	295	1052
219	295	1048
220	296	1044
221	297	1040
222	297	1036
223	298	1033
224	298	1029
225	299	1025
226	300	1021
227	300	1018
228	301	1014
229	301	1010
230	302	1007
231	303	1004
232	304	1000
233	304	997
234	305	994
235	305	990
236	306	987
237	307	983
238	307	980
239	308	976
240	308	973
241	309	969
242	310	966
243	310	963
244	311	959
245	312	956
246	312	953
247	313	949
248	313	946
249	314	943
250	315	940
251	315	936
252	316	933
253	316	930
254	317	927
255	318	924
256	318	921
257	319	919
258	320	916
259	320	913
260	321	910
261	322	907
262	322	904
263	323	901
264	323	898
265	324	895
266	325	892
267	325	889
268	326	886
269	326	883
270	327	880
271	328	877
272	328	875
273	329	872
274	329	869
275	330	866
276	331	863
277	331	861
278	332	858
279	332	856
280	333	853
281	334	851
282	335	848
283	335	845
284	336	843
285	336	840
286	337	838
287	337	835
288	338	833
289	339	830
290	339	828
291	340	825
292	341	823
293	341	820
294	342	818
295	343	815
296	343	813
297	344	811
298	344	808
299	345	806
300	346	803
301	346	801
302	347	799
303	348	797
304	349	795
305	349	793
306	350	791
307	351	788
308	351	786
309	352	784
310	352	781
311	353	779
312	354	777
313	354	775
314	355	772
315	356	770
316	356	768
317	357	766
318	357	764
319	358	762
320	359	759
321	359	757
322	360	755
323	361	753
324	361	751
325	362	749
326	363	747
327	363	745
328	364	743
329	365	741
330	365	739
331	366	738
332	367	736
333	368	734
334	369	733
335	370	731
336	370	729
337	371	727
338	372	726
339	373	724
340	374	722
341	374	721
342	375	719
343	376	717
344	376	715
345	377	713
346	378	712
347	379	710
348	379	708
349	380	706
350	381	704
351	381	702
352	382	700
353	382	698
354	383	696
355	384	694
356	384	692
357	385	690
358	385	689
359	386	687
360	387	685
361	387	683
362	388	681
363	388	679
364	389	677
365	390	675
366	390	673
367	391	672
368	391	670
369	392	668
370	393	666
371	393	665
372	394	663
373	395	661
374	396	660
375	396	658
376	397	656
377	397	654
378	398	652
379	398	650
380	399	649
381	400	647
382	400	645
383	401	643
384	401	642
385	402	640
386	403	638
387	403	636
388	404	635
389	404	633
390	405	631
391	406	629
392	406	628
393	407	626
394	407	624
395	408	623
396	409	621
397	410	620
398	410	618
399	411	617
400	412	615
401	412	613
402	413	612
403	413	610
404	414	608
405	414	607
406	415	605
407	416	603
408	416	602
409	417	600
410	417	598
411	418	597
412	419	595
413	419	594
414	420	592
415	421	591
416	421	589
417	422	588
418	423	586
419	423	585
420	424	584
421	425	582
422	426	581
423	426	579
424	427	578
425	427	576
426	428	575
427	429	573
428	429	571
429	430	570
430	430	568
431	431	567
432	432	565
433	432	564
434	433	562
435	433	561
436	434	559
437	435	558
438	435	556
439	436	555
440	436	553
441	437	552
442	438	550
443	438	549
444	439	548
445	440	546
446	440	545
447	441	543
448	442	542
449	442	541
450	443	539
451	443	538
452	444	536
453	444	535
454	445	533
455	446	532
456	446	530
457	447	529
458	447	528
459	448	526
460	449	525
461	449	523
462	450	522
463	450	520
464	451	519
465	452	518
466	452	516
467	453	515
468	454	514
469	455	513
470	455	511
471	456	510
472	457	509
473	457	507
474	458	506
475	458	505
476	459	503
477	459	502
478	460	500
479	461	499
480	461	498
481	462	496
482	462	495
483	463	494
484	464	492
485	464	491
486	465	490
487	465	488
488	466	487
489	467	486
490	467	484
491	468	483
